# Escape from Tarkov weapons & modules dictionary
# Format: Original|Russian phonetic|English phonetic

# ----------------
# WEAPONS
# ----------------

# Assault rifles
ADAR 2-15|адар два-пятнадцать|adar two fifteen
AK-101|эй-кей сто один|ay kay one oh one
AK-102|эй-кей сто два|ay kay one oh two
AK-103|эй-кей сто три|ay kay one oh three
AK-104|эй-кей сто четыре|ay kay one oh four
AK-105|эй-кей сто пять|ay kay one oh five
AK-74|эй-кей семьдесят четыре|ay kay seventy four
AK-74M|эй-кей семьдесят четыре эм|ay kay seventy four em
AK-74N|эй-кей семьдесят четыре эн|ay kay seventy four en
AKM|эй-кей-эм|ay kay em
AKMN|эй-кей-эм-эн|ay kay em en
AKMS|эй-кей-эм-эс|ay kay em ess
AKMSN|эй-кей-эм-эс-эн|ay kay em ess en
AKS-74|эй-кей-эс семьдесят четыре|ay kay ess seventy four
AKS-74N|эй-кей-эс семьдесят четыре эн|ay kay ess seventy four en
AKS-74U|эй-кей-эс семьдесят четыре ю|ay kay ess seventy four you
AKS-74UB|эй-кей-эс семьдесят четыре ю-би|ay kay ess seventy four you bee
AKS-74UN|эй-кей-эс семьдесят четыре ю-эн|ay kay ess seventy four you en
ASh-12|аш двенадцать|ash twelve
DT MDR|ди-ти эм-ди-эр|dee tee em dee ar
DT MDR .308|ди-ти эм-ди-эр три ноль восемь|dee tee em dee ar three oh eight
HK 416A5|эйч-кей четыреста шестнадцать а-пять|aych kay four sixteen ay five
M4A1|эм четыре а-один|em four ay one
SA-58|эс-эй пятьдесят восемь|ess ay fifty eight
TX-15 DML|ти-икс пятнадцать ди-эм-эль|tee ex fifteen dee em ell
Vepr AKM/VPO-209|вепрь эй-кей-эм вэ-пэ-о двести девять|vepr ay kay em vee pee oh two oh nine
Vepr KM/VPO-136|вепрь ка-эм вэ-пэ-о сто тридцать шесть|vepr kay em vee pee oh one thirty six

# Assault carbines
AS VAL|ас вал|as val
OP-SKS|о-пэ эс-ка-эс|oh pee ess kay ess
SKS|эс-ка-эс|ess kay ess
Vepr Hunter/VPO-101|вепрь хантер вэ-пэ-о сто один|vepr hunter vee pee oh one oh one

# Light machine guns
RPK-16|эр-пэ-ка шестнадцать|ar pee kay sixteen

# Submachine guns
MP5|эм-пи пять|em pee five
MP5K-N|эм-пи пять кей-эн|em pee five kay en
MP7A1|эм-пи семь а-один|em pee seven ay one
MP9|эм-пи девять|em pee nine
MP9-N|эм-пи девять эн|em pee nine en
MP7A2|эм-пи семь а-два|em pee seven ay two
MPX|эм-пи-икс|em pee ex
P90|пи девяносто|pee ninety
